CONFERENCE_EVENT,"Coney Island is calling!
Spend the Summer working at Luna Park in Coney Island!
Come to the Luna Park Job Fair
Friday, February 26th 10am ‰ÛÒ 6pm
B&B Carousell
Located on the Boardwalk between Kensington Walk and the Parachute Jump.
Visit our Employment page for a list of current opportunities:
LunaParkNYC.com/about/employment
*Please note that all candidates must be 18 years of age or older,
and must bring an updated copy of their resume in order to be interviewed.*
For more information, contact us at 718-373-5862 or Info@LunaParkNYC.com",1,CONFERENCE_EVENT
www.coneyisland.com",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:

Amazing Ken Levy
Amazing Ken has presented his world renowned kids magic at Broadway‰Ûªs Gershwin Theatre, Six Flags Great Adventure, Stand Up New York Comedy Stage, Club Med resorts, appeared on Good Morning America and acted as magic consultant for Amazon.  Prepare to be amazed and get ready to laugh!

Torkova
Torkova is an Award Winning Mind Reader and Magician. He reveals secretly thought of childhood names, dates and other personal information that could not possibly have been known beforehand. Torkova‰Ûªs entertainment skills along with his warm wit will have you laughing and wondering if this could all possibly be real?",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:

Harry Mandel
Harry Mandel's unique blend of amazing magic effects, comedy, mentalism, and escapes, has been delighting audiences since 1989. He has appeared at the world famous Copacabana and various Comedy Clubs as well as on local TV shows.

Chris Lengyel
Making his Magic at Coney!!! debut, Chris Lengyel is also known as Freakout the Magician.  He is a Street Magician from Connecticut. Chris‰Ûª goal is to awaken American and beyond to new possibilities!

Special Guest: Torkova
Torkova is an Award Winning Mind Reader and Magician. He reveals secretly thought of childhood names, dates and other personal information that could not possibly have been known beforehand. Torkova‰Ûªs entertainment skills along with his warm wit will have you laughing and wondering if this could all possibly be real?",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:

Omar Olusion
Omar is a magician who has performed his unique style of entertainment for Ripley's Believe It or Not, Spike TV and NY Carousel.   He is one of the funniest, zaniest performers to ever grace the Coney Island stage.

Lee Alan Barrett
Award winning Magic from one of the top stand-up Comedy Magicians in the country, Lee Alan Barrett is an icon at Magic at Coney!!!  With his background in acting and improv combined with magical skills, Lee always leaves his audience in amazement and laughter!",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:

Thomas Solomon
The World‰Ûªs Greatest Escape Artist, as evidenced by an award-winning handcuff act (2000 World Magic Awards) at The Roxy, The Magic Castle, Limelight, MK, Bally's, the White House and on several television specials throughout the world!  He has received numerous citations, including one from President Barack Obama, Governor Andrew Cuomo of New York and Governor Chris Christie of New Jersey, for his work on behalf of wounded veterans.

Magical Vince
Making his Magic at Coney!!! debut, Magical Vince has been performing as a magician and actor for more than 25 years, in every venue from private parties, corporate events, school assemblies, fairs, festivals and cruise ships.  From small parlour type shows, up to larger stadium size audiences, he keeps his audience enthralled and thoroughly entertained with his mixture of wit, charm and dazzle. From the youngest to the oldest everybody loves Vince.",1,THEATER_EVENT

THEATER_EVENT,"Bindlestiff Family Cirkus and Playful Productions present a special showcase for young variety performers, ranging from absolute amateurs to world-class professionals. Juvenile jugglers, diminutive dancers, adolescent acrobats, and a host of other majorly talented minors present a full show of vernal vaudeville.

Now in its eleventh year, Bindlestiff Cavalcade of Youth continues to feature an amazing array of young talent. These are the future stars of Cirque du Soleil, Ringling Brothers and Barnum & Bailey Circus, Coney Island Sideshow, and television. Where else can you see young unicyclists, tap dancers, magicians, clowns, and contortionists share the stage with Broadway-bound singers and classically trained musicians?

Since its inception in January 2004, the Bindlestiff Cavalcade of Youth program has grown markedly and conducted after-school programs throughout the Empire State. CavalKids have performed in Speigeltents at the South Street Seaport and at the Bard Summerscape Festival, at Abrons Arts Center, at Snug Harbor Cultural Center, and for American Youth Circus Organization festivals.

Admission:  $10 youth under 21 / $15 adults",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Hosted by Lee Alan Barrett, award-winning magician and one of the top stand-up Comedy Magicians in the country, Lee Alan Barrett is an icon at Magic at Coney!!! The performers this week are:

Carl Mercurio
Classic blend of comedy and magic by the world-class author, magician and humorist. Carl has performed at venues large and small, spreading Magic and Love Worldwide!

Torkova
Torkova is an Award Winning Mind Reader and Magician. He reveals secretly thought of childhood names, dates and other personal information that could not possibly have been known beforehand. Torkova‰Ûªs entertainment skills along with his warm wit will have you laughing and wondering if this could all possibly be real?",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork10311610pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork1031168pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork103016

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"This is the story of little Sammy Porter, an 11 yr old girl who spent her day having fun with her parents in Coney Island. At the end of the night when her parents are ready to go home, Sammy has other plans. Sammy tries to reenact her good time in Coney Island by herself, but the Coney Island Sammy explores by herself, is definately not what she remembered about her fun day with mom and dad.

Every fun thing Sammy does ends up taking a strange turn. From dizzying rides, to giant funnel cakes, this Coney Island is not what Sammy was expecting when she ran away from mom and dad. Is this a dream, or is this why mom and dad wanted to go home so bad?

This is a LIVE ACTION SHOW, where actors run through the audience.

This show will involve 4 of your 5 senses, there will be smells pleasant and unpleasant, sounds, things (not people) that touch you and your eyes will entertained the whole time.

Disclaimer: there might be smells that offend you, you might get wet and you will be touched by props, but you will have fun. It's a family friendly show, 5yrs old and up.

Show runs every hour, on the hour, from 1pm - 7pm.

Tickets are $10 for Adults and $5 for kids, at the door.",1,THEATER_EVENT

THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.

Admission is only $10 for adults and $5 for children under 12 online, or at the door.

Children in costume will receive treat bags.

Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:

Thomas Solomon
The World‰Ûªs Greatest Escape Artist, as evidenced by an award-winning handcuff act (2000 World Magic Awards) at The Roxy, The Magic Castle, Limelight, MK, Bally's, the White House and on several television specials throughout the world!  He has received numerous citations, including one from President Barack Obama, Governor Andrew Cuomo of New York and Governor Chris Christie of New Jersey, for his work on behalf of wounded veterans.

Doc Sasko
Doc Sasko has been a known face in the New York magic scene for years. A regular at Evenings of Wonder, his comedy magic can be seen throughout the tri-state region.

Apollo Riego
Award winning Magic from one of the top young card manipulation experts in the country.  Apollo Riego calls himself a ‰ÛÏFusion Illusionist‰Ûù, incorporating dance, mime and martial arts with Magic.

Chris Lengyel
Making his Magic at Coney!!! debut, Chris Lengyel is also known as Freakout the Magician.  He is a Street Magician from Connecticut. Chris‰Ûª goal is to awaken American and beyond to new possibilities!",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork10291610pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork1029168pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork10281610pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City.

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Tickets are $15 online, or at the door.
Advance tickets at: http://www.coneyisland.com/event/dirtywork1028168pm

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

THEATER_EVENT,"Coney Island's original Halloween extravaganza is one of the smartest and best spook shows in all of New York City. 

DIRTY WORK AT THE WAX WORKS is a demented story told by the 1970's Night Watchman of Coney Island's infamous Presidential Wax Works. If you take his after hours, crack pipe smoking, hallucinated tour though the Hall of Presidents, don't be too shocked or offended, if you hear excessive swearing and encounter excessive graphic violence including:

A Shooting Gallery Re-Enactment of the Kennedy assassination.

Zombies eating Richard Nixon's brain and a Funeral interrupted by a Booger hanging off of George Washington's nose.

DIRTY WORK AT THE WAX WORKS is October's perfect mash-up of Halloween Horror & Horrifying Presidents!

Vote for our Creepiest Carny Ever!

Or Vote for our League of Zombie Fighting Creepshow Commanders in Chief!

Vote for the Worst Presidents and Best Halloween Ever!

Come see what the New York Press called ""not only the best and wildest haunted house in town, but the smartest as well.""

Under 16 must be accompanied by parent. No one under 10 will be admitted!

Directed by: Dick D. Zigun

Scenic and Costume Design: Kate Dale

Special Effects Design: Jeremy Chernick

Scenic Artist: Marie Roberts

Starring:
Nikos Brisco, Zero Boy, Patrick Salazar",1,THEATER_EVENT

BOOK_EVENT,"Bring your toddler for our Saturday Morning Storytime, which will include a reading circle and arts and crafts.  A healthy snack is included.",1,BOOK_EVENT

NEIGHBORHOOD,"Join us for our third annual Coney Island YMCA Halloween Spooktacular! This fall party, full of fun for the entire family, will include arts and crafts, games, face painting, and a haunted house! Refreshments will also be served. Happy Halloween!

Please note that a small donation is required for admission to the haunted house: $1 for members; and $3 for the community and $1/each additional child.",0,NEIGHBORHOOD

FITNESS,Join us for Wukkout on the beach with Krista! The class will be held near 29th Steet.,0,FITNESS

FITNESS,Join us for Bootcamp on the beach with Yaya! The class will be held near 29th Steet.,0,FITNESS

FITNESS,Join us for Tai Chi on the beach with Stella! The class will be held near 29th Steet.,0,FITNESS

FITNESS,Join us for yoga on the beach with Samantha! The class will be held near 29th Steet.,0,FITNESS

FITNESS,"Join our Runner's Club! We will be running for charity at the Brooklyn Cyclone's Take the Bases 5K Run on July 23. 
$55 THROUGH JULY 17
Runner‰Ûªs Club class twice a week until race day-Tuesdays and Thursdays at 9am.
Free t-shirt 
Bib number & electronic chip timing 
Finish on home plate at MCU Park
Ticket to choice of three Cyclone games
Entry to post race party with FREE food & beer",0,FITNESS

MOVIE_EVENT,"What‰Ûªs more Brooklyn than eating a Nathan‰Ûªs Famous hotdog on the Coney Island boardwalk? How about the story of an immigrant who arrived in NYC from Poland in 1912 with nothing to his name (and no English skills), and went on to start a food empire that remains a household name a century later? Join Lloyd Handwerker, grandson of Nathan himself, as he screens his documentary and discusses his new book about his grandfather‰Ûªs legacy.

Screening and Book Signing: ""Famous Nathan""
Mon, Jun 27, 6:30 pm
Free
Reserve your spot: https://famousnathan.eventbrite.com",1,MOVIE_EVENT

BOOK_EVENT,"Bring your toddler for our Saturday Morning Storytime, which will include a  reading circle and arts and crafts.  A healthy snack is included.",1,BOOK_EVENT

FESTIVAL_EVENT,"The Coney Island YMCA will be hosting our Third Annual Healthy Kids Day on Saturday, April 30. This event is being held in collaboration with National Healthy Kids Day, a nation-wide YMCA health initiative. The branch will open its doors to the community to promote the health and well being of children. This is a fun-filled family event for all ages. So join us for a block party that you wont forget.
http://www.ymcanyc.org/association/pages/healthy-kids-day/",1,FESTIVAL_EVENT

WORKSHOP,"Bring your family to meet our  family!  
Bring your toddler for our first Saturday Morning Storytime, which will include a  reading circle and arts and crafts.  A healthy snack is included.",1,WORKSHOP

WORKSHOP,"Kids Kuisine is an interactive nutrition workshop that will teach children the basics of healthy eating. They will learn how to read nutrition labels,  understand food budgeting, proper food prep, and more!",1,WORKSHOP

WORKSHOP,"Kids Kuisine is an interactive nutrition workshop that will teach children the basics of ‰Û÷good eating‰Ûª.   They will learn how to read nutrition labels, understand food budgeting, proper food prep, and more!",1,WORKSHOP
