neighborhood,time of event,event description,art event indicator
Northeast Bronx,2016-12-10T17:00:00-0500,Tune in today for Live @ 5 with The Bishop,0
Northeast Bronx,2016-10-27T19:00:00-0400,"We at The Greater Anointing Tabernacle are very excited about our upcoming K.I.M. - Keep It Moving Women's Conference. All are invited!!! Bring your mothers, daughters, nieces, cousins, aunts.

Be sure to save the dates October 27th - October 29th so you can come & experience outstanding Worship & amazing Speakers. Join us with an expectation to be in the Presence of God, loved, embraced, strengthened & uplifted!

#IMTOOSAVEDTOSTAYSTUCK",0
Northeast Bronx,2016-09-23T19:00:00-0400,"Join us for a 3 days of GLORY!!! GLORY CARRIERS II - Friday, Sept. 23rd st 7pm, Saturday, Sept. 24th - 12Noon and Sunday, Sept. 25th st 9am and 12 Noon.
Register Today for Saturday, Sept. 24th DIVINE IMPARTATION Service $40 per person/plus Free Brunch. email us at  greatanointing4@gmail.com  for more information.",0
Northeast Bronx,2016-08-23T19:00:00-0400,"Join us for an unprecedented service. It's the ACCEPTABLE YEAR PUFF THE LORD!!! Beginning Tuesday, August 23rd - Friday, August 26th - nightly at 7pm.",0
Northeast Bronx,2016-06-18T10:00:00-0400,null,0
Northeast Bronx,2016-05-11T19:00:00-0400,"All are invited to join us for our Pentecostal Revival 2016 - ""Fresh Fire from on High"".  Begining May 11th - May 13th at 7pm Nightly and Sunday, May 15th at 9am and 12 Noon.",0
Northeast Bronx,2016-04-19T19:00:00-0400,"You are invited to join us as we celebrate Bishop Stockton's 5th Bishopric Anniverary - ""Conquering The Odds"" - Luke 10:19.
The Celebration begins Tuesday, April 19th - Friday, April 22nd 7pm Nightly and Sunday, April 24th - 9am and 12pm. For more information contact Min. Freeman - greateranointing4@gmail.com or at 347-244-4876",0
Northeast Bronx,2016-03-20T09:00:00-0400,You and your entire family are invited to our Family and Friends Day 2016 - Palm Sunday March 20th and Resurrection Sunday March 27th at 9am and 12pm.  Join us for two Powerful services guaranteed to transform your life.,0
Northeast Bronx,2016-01-29T19:00:00-0500,Join us for a Special Evening as the Women of G.A.T. walk together in Godly wisdom this year. For more information contact us at greateranointing4@gmail.com,0
Northeast Bronx,2015-12-31T21:00:00-0500,"We are counting down the days as Greater Anointing Tabernacle personally invites you an unprecendent 2016 Watch Night Service ""THE ACCEPTABLE YEAR OF THE LORD"". We are excepting a Mighty Move of God!! Everyone is welcome to join us.  Come early to reserve a seat in the Tabernacle.",0
Northeast Bronx,2015-11-18T19:00:00-0500,"YOU ARE INVITED TO AN EXPLOSIVE EVENT!!! NOVEMBER 18-22ND  OPERATION REPO - REPOSSESSING THE LOST AT ANY COST!!! Youth of all Ages are welcome.  Get readyf for an on-time Word and authentic Praise & Worship!!! Greater Anointing Tabernacle - 4348 White Plains Road, Bronx, NY 10466",0
Northeast Bronx,2015-10-07T19:00:00-0400,"Join us for a Weekend of Renewed and Restored Women!!!
Beginning October 7th - October 9th we invited you to Greater Anointing Tabernacle WORSHIP AT THE WELL REVIVAL!!!  This is a FREE EVENT!!!!  Bring your Mothers, Daughters, Aunts, Cousins, Nieces, Co-Workers and neighbors.  
Wed. Oct 7th - Daughters of Destiny
Thurs. Oct 8th - Mother's Motivation into Elevation
Fri- Oct 9th - Daddy Delivering His Daughters into a New Day
Contact us for more info. gatkingdomwomen@gmail.com",0
Northeast Bronx,2015-09-24T19:00:00-0400,"All are invited who desire to go forward in ministry.  Bishop Richard J. Stockton will prepare, train and impart to those who who have passion for ministry and the things of God.  Meet us a Evangelistic Outreach Ministry, Inc. - 158 E. 32nd St., Brooklyn, NY 11226 at 7pm.",0
Northeast Bronx,2015-08-18T19:00:00-0400,"Anointed Covenant Churches International invites you to a Week of Worship, Praise and Fellowship.
Convocation Schedule
Tuesday, Aug. 18 - Commencement Night
Wednesday, Aug. 19 - Worshipping Women Who Win
Thursday, Aug. 20 - Mighty Men of Valor
Friday, Aug. 21 - Generation Next
Saturday, Aug. 22 - Ordination & Elevation Service",0
Northeast Bronx,2015-07-19T18:00:00-0400,null,0
Northeast Bronx,2015-06-21T09:00:00-0400,"Join us for two services as we celebrate our Bishop Richard J. Stockton, III and the men of God at Greater Anointing Tabernacle Church with special guest speaker Elder Jamel Moore from New Life Tabernacle.  Sponsored by the G.A.T. Pastor's Aide Ministry",0
Northeast Bronx,2015-06-19T19:00:00-0400,"Bishop Stockton will minister at:
Calvary Temple Christian Center 
Bishop John R. Thompson Sr., IRPF Holy Convocation",0
Northeast Bronx,2015-06-07T00:00:00-0700,"Women of all ages and backgrounds are invited to the G.A.T. Exceptional Women's Ministry invites 1st Annual Women's Day Service - ""TURNING MY SETBACK INTO A COMEBACK"" - Seizing the Moment in a Time of Transition on Sunday, June 7, 2015 at 12 Noon and 6pm. Join us for a day of igniting and empowering women from across the globe into a Perpetual Season of ABUNDANCE AND PROSPERITY!!!! You'll never be the same after receiving a Word from two dynamic speakers. Don't miss this opportunity. SIGN UP TODAY!!!!",0
Northeast Bronx,2016-12-10T17:00:00-0500,Tune in today for Live @ 5 with The Bishop,0
Northeast Bronx,2016-10-27T19:00:00-0400,"We at The Greater Anointing Tabernacle are very excited about our upcoming K.I.M. - Keep It Moving Women's Conference. All are invited!!! Bring your mothers, daughters, nieces, cousins, aunts.

Be sure to save the dates October 27th - October 29th so you can come & experience outstanding Worship & amazing Speakers. Join us with an expectation to be in the Presence of God, loved, embraced, strengthened & uplifted!

#IMTOOSAVEDTOSTAYSTUCK",0
Northeast Bronx,2016-09-23T19:00:00-0400,"Join us for a 3 days of GLORY!!! GLORY CARRIERS II - Friday, Sept. 23rd st 7pm, Saturday, Sept. 24th - 12Noon and Sunday, Sept. 25th st 9am and 12 Noon.
Register Today for Saturday, Sept. 24th DIVINE IMPARTATION Service $40 per person/plus Free Brunch. email us at  greatanointing4@gmail.com  for more information.",0
Northeast Bronx,2016-08-23T19:00:00-0400,"Join us for an unprecedented service. It's the ACCEPTABLE YEAR PUFF THE LORD!!! Beginning Tuesday, August 23rd - Friday, August 26th - nightly at 7pm.",0
Northeast Bronx,2016-06-18T10:00:00-0400,null,0
Northeast Bronx,2016-05-11T19:00:00-0400,"All are invited to join us for our Pentecostal Revival 2016 - ""Fresh Fire from on High"".  Begining May 11th - May 13th at 7pm Nightly and Sunday, May 15th at 9am and 12 Noon.",0
Northeast Bronx,2016-04-19T19:00:00-0400,"You are invited to join us as we celebrate Bishop Stockton's 5th Bishopric Anniverary - ""Conquering The Odds"" - Luke 10:19.
The Celebration begins Tuesday, April 19th - Friday, April 22nd 7pm Nightly and Sunday, April 24th - 9am and 12pm. For more information contact Min. Freeman - greateranointing4@gmail.com or at 347-244-4876",0
Northeast Bronx,2016-03-20T09:00:00-0400,You and your entire family are invited to our Family and Friends Day 2016 - Palm Sunday March 20th and Resurrection Sunday March 27th at 9am and 12pm.  Join us for two Powerful services guaranteed to transform your life.,0
Northeast Bronx,2016-01-29T19:00:00-0500,Join us for a Special Evening as the Women of G.A.T. walk together in Godly wisdom this year. For more information contact us at greateranointing4@gmail.com,0
Northeast Bronx,2015-12-31T21:00:00-0500,"We are counting down the days as Greater Anointing Tabernacle personally invites you an unprecendent 2016 Watch Night Service ""THE ACCEPTABLE YEAR OF THE LORD"". We are excepting a Mighty Move of God!! Everyone is welcome to join us.  Come early to reserve a seat in the Tabernacle.",0
Northeast Bronx,2015-11-18T19:00:00-0500,"YOU ARE INVITED TO AN EXPLOSIVE EVENT!!! NOVEMBER 18-22ND  OPERATION REPO - REPOSSESSING THE LOST AT ANY COST!!! Youth of all Ages are welcome.  Get readyf for an on-time Word and authentic Praise & Worship!!! Greater Anointing Tabernacle - 4348 White Plains Road, Bronx, NY 10466",0
Northeast Bronx,2015-10-07T19:00:00-0400,"Join us for a Weekend of Renewed and Restored Women!!!
Beginning October 7th - October 9th we invited you to Greater Anointing Tabernacle WORSHIP AT THE WELL REVIVAL!!!  This is a FREE EVENT!!!!  Bring your Mothers, Daughters, Aunts, Cousins, Nieces, Co-Workers and neighbors.  
Wed. Oct 7th - Daughters of Destiny
Thurs. Oct 8th - Mother's Motivation into Elevation
Fri- Oct 9th - Daddy Delivering His Daughters into a New Day
Contact us for more info. gatkingdomwomen@gmail.com",0
Northeast Bronx,2015-09-24T19:00:00-0400,"All are invited who desire to go forward in ministry.  Bishop Richard J. Stockton will prepare, train and impart to those who who have passion for ministry and the things of God.  Meet us a Evangelistic Outreach Ministry, Inc. - 158 E. 32nd St., Brooklyn, NY 11226 at 7pm.",0
Northeast Bronx,2015-08-18T19:00:00-0400,"Anointed Covenant Churches International invites you to a Week of Worship, Praise and Fellowship.
Convocation Schedule
Tuesday, Aug. 18 - Commencement Night
Wednesday, Aug. 19 - Worshipping Women Who Win
Thursday, Aug. 20 - Mighty Men of Valor
Friday, Aug. 21 - Generation Next
Saturday, Aug. 22 - Ordination & Elevation Service",0
Northeast Bronx,2015-07-19T18:00:00-0400,null,0
Northeast Bronx,2015-06-21T09:00:00-0400,"Join us for two services as we celebrate our Bishop Richard J. Stockton, III and the men of God at Greater Anointing Tabernacle Church with special guest speaker Elder Jamel Moore from New Life Tabernacle.  Sponsored by the G.A.T. Pastor's Aide Ministry",0
Northeast Bronx,2015-06-19T19:00:00-0400,"Bishop Stockton will minister at:
Calvary Temple Christian Center 
Bishop John R. Thompson Sr., IRPF Holy Convocation",0
Northeast Bronx,2015-06-07T00:00:00-0700,"Women of all ages and backgrounds are invited to the G.A.T. Exceptional Women's Ministry invites 1st Annual Women's Day Service - ""TURNING MY SETBACK INTO A COMEBACK"" - Seizing the Moment in a Time of Transition on Sunday, June 7, 2015 at 12 Noon and 6pm. Join us for a day of igniting and empowering women from across the globe into a Perpetual Season of ABUNDANCE AND PROSPERITY!!!! You'll never be the same after receiving a Word from two dynamic speakers. Don't miss this opportunity. SIGN UP TODAY!!!!",0
Northeast Bronx,2016-12-03T11:00:00-0500,null,0
Northeast Bronx,2016-12-03T11:00:00-0500,"Please come and support this great event...Bargains galore!
Vendors÷ gifts÷ collectibles 
Books÷ housewares÷ Christmas card sale.. sooo much more...",0
Northeast Bronx,2016-11-15T14:00:00-0500,"Helth Fair 
Free flue and pneumonia  shots for parish members (9:30-1:00)
Private medical consulting,blood pressure and diabetes  screening and more...",1
Northeast Bronx,2016-09-11T10:00:00-0400,"All grandparents,parents and children are invited to this special mass and celebration with FREE breakfast being served in Father Winters Hall immediately following mass. PLEASE join us and do share this event!!",1
Northeast Bronx,2016-06-26T14:00:00+0000,"YOU CAN make a difference and save a life
Please donate to our Blood Drive this Sunday.",0
Northeast Bronx,2016-06-08T23:30:00+0000,"All are welcomed! Plase come and share your comments,cares and suggestions.Keep informed about our parish.Help us to meet the ever changing needs...",0
Northeast Bronx,2016-05-05T11:00:00+0000,"Holy day of Obligation - masses at 7 & 9 am.,12 noon and 7:30 pm",0
Northeast Bronx,2016-02-28T15:00:00+0000,"YOU CAN MAKE A DIFFERENCE! Please take time to donate....please share
Sponsored by our Holy Name Society",0
Northeast Bronx,2016-02-10T12:00:00+0000,"Ashes distribution @ 7,9, 12 &7pm reminder  a day of fasting..",0
Northeast Bronx,2015-10-04T17:45:00+0000,We start our 90th year celebration with a procession of OUR BLESSED MOTHER through the streets of our parish...please bring your family and friend and share this event... JOIN US!!!,0
Northeast Bronx,2015-03-15T13:00:00+0000,You can make a difference  and save a life..(please share),0
Northeast Bronx,2015-02-15T18:00:00+0000,Our committee  of Black Ministry 's annual Black History Mass.Special guest celebrant will be Fr. Marcel Admadi of St. CHARLES BORROMEO..reception following..join us!,0
Northeast Bronx,2015-01-18T18:00:00+0000,Please join us for this celebration ..hosted by our Black Ministry for all with special gust celebrants and choirs for mass . reception following in FWH,0
Northeast Bronx,2015-01-08T00:30:00+0000,"@FWH..Stay informed ...bring your comments , concerns, suggestions ..OPEN TO ALL PARISH MEMBERS..",0
Northeast Bronx,2014-11-16T09:00:00-0500,"Sponsored by Our HOLY NAME SOCIETY: 
All you can eat, Join us for food ,fun and fellowship
Tickets: $10 ($12 at  door) children 10 and under $5 ($7 at door) more info: ebwaldron@aol.com
PLEASE JOIN US...last year was a huge success!!! Help fund many of the parish projects",1
Northeast Bronx,2014-05-16T19:00:00-0400,"GIMME SHELTER :101 min. PG13 based on a true story. A pregnant teen flees her abusive mother in search of her father,only to be rejected, forced to survive....",0
Northeast Bronx,2014-05-09T19:00:00-0400,Please share...see attached flyer for details,0
Northeast Bronx,2014-05-05T19:00:00-0400,see flyer for details..please forward and repost,0
Northeast Bronx,2014-03-16T00:00:00-0700,"We Need you HELP...Please donate!!!
bring your ID/free cookies and Juice.
eligibility questions call: 1-800-688-0900 (NYBC CONFIDENTIAL MEDICAL HOTLINE)",1
Northeast Bronx,2014-02-22T19:00:00-0500,"Our own Rasaan Bourk, returns to Holy Rosary to perform Beauty, Faith, Love along with Melisa Gabriel,soprano
tickets $15. at the door. see our post for details..",0
Northeast Bronx,2016-12-08T10:00:00-0500,"AVAILABLE POSITION & FIELDS... SALES, DIRECT MARKETING,COMMERCIAL MARKETING, CUSTOMER SERVICE 7 ACQUISTIONS, EVENT 7 PUBLIC RELATIONS, CAMPAIGN MANAGEMENT , AND MORE... $400 + WEEKLEY! NO EXPERIENCE NEEDED! FREE TRAINING!  START TOMORROW...CALL NOW!!! MS. VARGAS (347) 202-5919",1
Northeast Bronx,2016-11-07T10:00:00-0500,Jobs Jobs Jobs more Jobs. Come down and lets talk about that Compensation plan. Negotiations are the Best form of business.,0
Northeast Bronx,2016-10-19T10:00:00-0400,"We are doing a nation wide Recruiting spree. 
Mulltiple positions availble .Please come in professional arrire with resume.",1
Southeast Bronx,2016-02-07T12:00:00-0500,"Members $40
Guests $60",0
Southeast Bronx,2016-02-07T12:00:00-0500,"Members $40
Guests $60",0
Southeast Bronx,2014-03-28T19:00:00-0700,"JOIN US TO OUR Mariachi Night
at 2231 WESTCHESTER AVE. BRONX NEW YORK 10462
OR FOR RESERVATIONS YOU CAN CALL AT 718-518-7425",0
Southeast Bronx,2013-09-13T00:00:00-0700,celebrate with us this September 15 - Mexican Independence Day,0
Southeast Bronx,2013-02-11T21:00:00-0800,los invitamos este dia de san valentin a que pases tu y tu pareja un momento agradable,0
Southeast Bronx,2012-11-06T21:00:00-0800,Parkchester Applebee's Officially Opens!,0
Southeast Bronx,2016-12-17T20:00:00-0500,"ATTENTION LADIES, SAT.DEC.17th
JINGLE BALLS 2 
MALE REVUE & AFTER-PARTY
""NAUGHTY & NICE CHRISTMAS""
Hosted by Sir-LanceAlot
Opens @ 7:00pm Û¢ Showtime @ 8:30pm
After-party with Music by @djsolonyc1 @djmannystyles
Tickets in Advance
1 Ticket $15
5 Tickets $60
10 Tickets $100
Go to evoloungeny.com or call 9175607700",0
Southeast Bronx,2016-12-08T18:00:00-0500,"NYC, PLEASE COME AND PARTY WITH US EACH AND EVERY SALSA THURSDAYS

>>>>> JOHNNY MAMBO & FRIENDS LIVE PERFOMANCE <<<<<

SHOWTIME AT 9:00PM SHARP
FREE ADMISSION ALL NIGHT
DOOR OPEN 6PM
DJ RHYTHM & NYC'S TOP DJ
SALSA, CHA-CHA, CHANRANGA, BACHATA AND MORE!
$10 SALSA CLASSES WITH STEVE SEDA & GLENDA LIZ 7PM-9PM
CELEBRATE YOUR BIRTHDAY WITH US 
TABLES RESERVATIONS CALL 9175607700
OR VISIT WWW.EVOLOUNGE.COM

HAPPY HOURS 6PM-8PM
FREE BUFFET 7PM
$5 DRINKS & BEERS ALL NIGHT
KITCHEN OPEN TILL 3PM
HOOKAH AVAILABLE

******** FREE PARKING ACROSS THE STREET AT ORTIZ HOME ********

EVO COCKTAIL LOUNGE & RESTAURANT 
1306 UNIONPORT RD. BRONX N.Y.",1
Southeast Bronx,2016-12-03T22:00:00-0500,"MEET ME AT EVO SATURDAY DEC 3RD FIRE & ICE ""BOMBER'S NIGHT OUT""
FEATURING SEXY GOGO DANCERS
_ÙÓ´Come mingle with some of 
NYC's Sexy Bomberos ã Ladies enjoy OPENBAR 11pm-12am
LA MEGA'S OWN DJ JINX PAUL _ÙÕ´ 
DJ CYS _ÙÕ´ DJ MANNY STYLES _ÙÕ´ 
_Ù Ò OPENBAR FOR LADIES 11PM-12AM
ÏÓ $100 BOTTLES TIL 12AM
ÏÓ FREE ADMISSION ALL NIGHT 
ÏÓ FREE PARKING ALL NIGHT 
EVO LOUNGE
1306 UNIONPORT RD BX, NY 10462",0
Southeast Bronx,2016-11-26T20:00:00-0500,"JOIN US THIS SATURDAY NOV 26th 
FUNNYBONE COMEDY SHOW 
& AFTERPARTY 
Featuring MARK VIERA 
Also NYC's Top Comics

After-party with Music by 
DJ Cys & DJ Manny Styles
Playing the best of:
Latin Music - Freestyle - R&B - Hip-hop - House Music

Seating @ 8:30pm
Showtime @ 9:30pm

$100 Bottles til 12am
2FOR1 Drinks & Beers 8pm-9pm
Kitchen Open TIL 3am
$20 ADMISSION
(Free Admission after Comedy Show)
Table Reservations 917-560-7700
mstylesent@gmail.com

Evo Lounge 
1306 UNIONPORT RD BRONX NY",1
Southeast Bronx,2016-11-17T18:00:00-0500,"NYC, LET'S PARTY THIS THURSDAY NOVEMBER 17TH 

>>>>>>>>>>>>>>> SALSA ON2 NYC STYLE <<<<<<<<<<<<<<<

LIVE ENTERTAINMENT EVERY OTHER WEEK
DJ RHYTHM & NYC TOPS DJ
PLAYING HOTTEST SALSA, CHA-CHA, BACHATA, AND MORE!
FREE ADMISSION ALL NIGHT 
DOOR OPEN AT 6PM - 3AM
ALSO $10 SALSA CLASSES WITH STEVE SEDA & GLENDA LIZ 7PM - 9PM 
HAPPY HOUR 6PM - 8PM 
KITCHEN OPEN TIL 2PM 
$5 DRINKS & BEERS ALL NIGHT 
COMPLIMENTARY BUFFET 7PM 
FREE PARKING ACROSS THE STREET AT ORTIZ HOME  

ALL HAPPENING AT EVO LOUNGE 1306 UNIONPORT RD. BRONX N.Y. 

TABLE RESERVATIONS CALL 718-822-9274 
OR VISIT WWW.EVOLOUNGE.COM 

ON NOVEMBER 24TH, EVO LOUNGE WILL BE CLOSED FOR THANKGIVING DAY!!!!",1
Southeast Bronx,2016-11-10T18:00:00-0500,"NYC, LET'S PARTY THIS THURSDAY NOVEMBER 10TH

>>>>>>>>>>>>>>> SALSA ON2 NYC STYLE <<<<<<<<<<<<<<<

JULIAN VASQUEZ ""EL DIAMANTE DE LA SALSA"" Y SU ORQUESTA LIVE PERFORMANCE
WITH DJ RHYTHM & NYC TOPS DJ 
PLAYING THE HOTTEST SALSA, CHA-CHA, BACHATA, AND MORE!
FREE ADMISSION ALL NIGHT
ALSO $10 SALSA CLASSES WITH STEVE SEDA & GLENDA LIZ 7PM - 9PM 
HAPPY HOUR 6PM - 8PM
KITCHEN OPEN TIL 3AM
$5 DRINKS & BEERS ALL NIGHT
COMPLIMENTARY BUFFET 7PM
FREE PARKING ACROSS THE STREET AT ORTIZ HOME

ALL HAPPENING AT EVO LOUNGE 1306 UNIONPORT RD. BRONX N.Y.

TABLE RESERVATIONS CALL 718-822-9274
OR VISIT WWW.EVOLOUNGE.COM",1
Southeast Bronx,2016-11-05T20:00:00-0400,"SATURDAY NOV 5TH 
PACQUIAO vs VARGAS

AFTERPARTY with
DJ NITRO & DJ MANNY STYLES

$100 BOTTLES TIL 12AM
FREE SHOTS FROM OUR SEXY #EVOTENDERS 
FREE PARKING - ACROSS THE STREET AT ORTIZ

$10 ADMISSION ON GLIST
click here for guestlist: 
http://djmannystyles.com/tinc?key=Fd1QHIar&formname=Guest_List
$20 GENERAL ADMISSION 
GUESTLIST OR RESERVATIONS CALL:
MSTYLES 917-560-7700
OR VISIT EVOLOUNGENY.COM

@ EVO LOUNGE 
1306 UNIONPORT RD. BX, NY",0
Southeast Bronx,2016-11-03T18:00:00-0400,"NYC, LET'S PARTY THIS THURSDAY NOVEMBER 3RD 

>>>>>>>>> SALSA ON2 NYC STYLES <<<<<<<<<

FREE ADMISSION ALL NIGHT 
DJ RHYTHM & NYC TOPS DJs
THE HOTTEST SALSA, CHA-CHA, SON, AND MORE, AND SOME TASTE OF BACHATA 
FEAT. LIVE ENTERTAINMENT EVERY OTHER WEEK 
HOPE SEE YOU IN ATTENDANCE
ALSO $10 SALSA CLASS WITH STEVE SEDA & GLENDA LIZ 7:00PM - 9:00PM
FREE PARKING ACROSS THE STREET AT ORTIZ
FREE BUFFETS 6PM - 7PM
HAPPY HOURS 6PM - 8PM

EVO COCKTAIL LOUNGE & RESTAURANT
1306 UNIONPORT RD. BRONX N.Y.

RESERVATION CALL 718-822-9274
OR VISIT www.evoloungeny.com",1
Southeast Bronx,2016-10-27T18:00:00-0400,"NYC, IT'S GOING DOWN THIS THURSDAY OCTOBER 27TH 

>>>>>>>> AFTER-WORK SALSA HALLOWEEN PARTY <<<<<<<<

DAVID MILLAN Y SU ORQUESTA LIVE PERFORMANCE 8:00PM SHOWTIME
FREE ADMISSION ALL NIGHT
HOPE TO SEE YOU IN ATTENDANCE
WEAR YOUR FAVORITE HALLOWEEN COSTUMES
SALSA DANCE SOCIAL @ 6PM WITH DJ ANDY & DJ RHYTHM
$10 SALSA CLASS WITH STEVE SEDA & GLENDA LIZ @ 7PM - 9PM
FREE PARKING ACROSS THE STREET AT ORTIZ
FREE BUFFET 6PM - 7PM
HAPPY HOURS 6PM - 8PM
ALL HAPPENING AT eVo COCKTAIL LOUNGE & RESTAURANT 1306 UNIONPORT RD. 

RESERVATION CALL 718-822-9274
OR VISIT EVOLOUNGE.COM",1
Southeast Bronx,2016-10-13T17:00:00-0400,">>>>>>>>>> AFTER-WORK SALSA THURSDAYS <<<<<<<<<<

LIVE PERFORMANCE EACH AND EVERY THURSDAYS
OCT 13 - JOHNNY MAMBO w/ YOKO LA JAPONESA SALSERA & FRIENDS LIVE @ 8PM
OCT 20 - DJ ANDY DJ RHYTHM @ 5PM
OCT 27 - DAVID MILLAN @ 8PM (HALLOWEEN PARTY) 
FREE ADMISSION ALL NIGHT
NO CASHIER, NO COVER CHARGE, NO WORRIES
HOPE TO SEE YOU IN ATTENDANCE
SALSA DANCE SOCIAL STARTS 5PM WITH DJ ANDY & DJ RHYTHM
$10 SALSA DANCE LESSONS BY STEVE SEDA & GLENDA LIZ STARTS 7PM - 9PM
FREE PARKING (ACROSS THE STREET AT ORITIZ)
FREE BUFFET 6PM -7PM
HAPPY HOURS 4PM - 8PM ( 1/2 PRICE DRINKS & 1/2 PRICE APPETIZERS)
ALL HAPPENING AT EVO COCKTAIL LOUNGE & RESTAURANT 1306 UNIONPORT RD. N.Y. 10462

RESERVATION CALL 718-822-9274 
OR VISIT EVOLOUNGE.COM",1
Southeast Bronx,2016-10-01T21:00:00-0400,"SAT. OCTOBER 1ST
EVOLICIOUSE SATURDAYS À_À_À_ 
MUSIC BY LA MEGA'S 97.9 DJ JINX PAUL À_
ALONGSIDE DJ CYS À_
DJ MANNY STYLES À_ 
ÏÓ FREE ADMISSION 
ÏÓ FREE PARKING À_
ÏÓ FREE SHOTS FROM OUR SEXY #EVOTENDERS À_

2FOR1 DRINKS & BEERS 9PM-11PM
$100 BOTTLES TIL 12AM
DOORS OPEN @9PM / KITCHEN OPEN LATE
ICE HOOKAHS AVAILABLE
21+ / CASUAL, NO ATHLETIC ATTIRE
MATURE & SEXY ATMOSPHEREÛ_

TABLE/BOTTLE RESERVATIONS
CLICK: http://djmannystyles.com/tinc?key=Fd1QHIar&formname=VIP_BIRTHDAYS
@ EVO LOUNGE 1306 UNIONPORT RD",0
Southeast Bronx,2016-09-29T17:00:00-0400,"NYC, ITS GOING DOWN THIS THURSDAY SEPTEMBER 29TH

>>>>>>>>>>>>> SALSA ON2 NYC STYLES <<<<<<<<<<<<<<

YOUR HOST: MANNY STYLES, DJ ANDY, DJ RHYTHM, DJ WOODY, STEVE SEDA
LIVE ENTERTAINMENT EACH AND EVERY THURSDAYS
JULIAN VASQUEZ ""EL DIAMOND DE LA SALSA"" LIVE PERFORMANCE
ITS FREE ADMISSION ALL NIGHT
HOPE TO SEE YOU IN ATTENDANCE
SALSA DANCE SOCIAL @ 5PM WITH DJ WOODY & DJ RHYTHM
$10 SALSA LESSONS WITH STEVE SEDA & GLENDA LIZ
@ 7PM - 9PM
FREE PARKING ACROSS THE STREET AT ORTIZ
FREE BUFFET 6PM - 7PM
HAPPY HOURS 4PM - 8PM
ALL HAPPENING AT EVO LOUNGE 1306 UNIONPORT RD. BRONX N.Y.

RESERVATION CALL 718-822-9274
OR VISIT EVOLOUNGE.COM",1
Southeast Bronx,2016-09-22T18:00:00-0400,"SALSEROS Y SALSERAS, ITS GOING DOWN THIS THURSDAY SEPTEMBER 22TH AND EVERY OTHER THURSDAYS

>>>>>>>>>>>> SALSA ON2 NYC STYLES <<<<<<<<<<<<<

HOST : STEVE SEDA, DJ ANDY, DJ RHYTHM, EVO LOUNGE
EVERY SALSA ON2 THURSDAYS
ITS FREE ADMISSION
HOPE TO SEE YOU IN ATTENDANCE
SALSA DANCE SOCIAL @ 7PM WITH DJ WOODY & DJ RHYTHM
BRING YOUR DANCING FOOTWEARS
$10 SALSA LESSONS WITH STEVE SEDA & GLENDA LIZ @ 7PM - 9PM
******FREE PARKING ACROSS THE STREET AT ORTIZ ******
FREE BUFFET 6pm - 7pm 
HAPPY HOURS 4pm - 8pm
ALL HAPPENING AT EVO COCKTAIL LOUNGE 1306 UNIONPORT RD. BRONX N.Y.

RESERVATION CALL 718-822-9274
OR VISIT EVOLOUNGENY.COM",0
Southeast Bronx,2016-05-19T19:00:00-0400,"NYC, IT'S GOING DOWN THIS THURSDAY MAY 26TH!
****************** SALSA ON2 NYC STYLES *******************
FREE ADMISSION ALL NIGHT 
HOPE TO SEE YOU IN ATTENDANCE
SALSA SOCIAL @ 7PM WITH DJ ANDY
$10 SALSA LESSONS WITH Steve Seda & Glenda Liz @ 7PM
HAPPY HOURS  4PM - 8PM
FREE BUFFETS 7PM - 8PM
FREE PARKING AT ORTIZ 
ALL HAPPENING AT EVO LOUNGE 1306 UNIONPORT RD. BRONX NY",1
Southeast Bronx,2016-05-12T19:00:00-0400,"NYC, IT'S GOING DOWN THIS THURSDAY MAY 12TH
EVERY THURSDAYS 
FREE ADMISSION ALL NIGHT
HOPE TO SEE YOU IN ATTENDANCE
SALSA SOCIAL @ 7PM WITH DJ Andy Rodriguez 
$10 SALSA LESSONS WITH Steve Seda & Glenda Liz @ 7PM
HAPPY HOURS @ 4PM - 8PM
FREE BUFFETS @ 7PM - 8PM
FREE PARKING (ACROSS THE STREET AT ORTIZ)
ALL HAPPENING AT Evo Cocktail Lounge & Restaurant 1306 UNIONPORT RD. BRONX NY",1
Southeast Bronx,2016-05-07T21:00:00-0400,"FEVER RECORDS
J-HARD ENT & IRRESISTABLE
PRESENT 

PRE MOTHER'S DAY CELEBRATION
SATURDAY MAY 7TH
LIVE PERFORMANCE BY
ROCKELL
BIRTHDAY CELEBRATION FOR
DREAM GIRL CYNTHIA & WHITEBOY DJ KYS
 
MUSIC BY DJ SHADEE
THE ORIGINAL ""WHITEBOY"" DJ KYS
JAYBOOGIENYC & GUEST CLUBKILLA DJS

FREE ADMISSION TIL 12AM
FREE PARKING - ACROSS THE STREET AT ORTIZ
$100 BOTTLES TIL 12AM 
2FOR1 DRINKS 9PM-11PM
 
RESERVATIONS CALL: 718-822-9274
OR VISIT EVOLOUNGENY.COM
 
DOORS OPEN @9PM / KITCHEN OPEN LATE
21+ / CASUAL, NO ATHLETIC ATTIRE
 
@ EVO LOUNGE 
1306 UNIONPORT RD. BX, NY",0
